product_id,x1,x2,x3,x4,x5,x6,classify
A20,0,0,0,1,0,0,2
A2,1,1,0,1,0,0,0
A3,1,0,0,0,0,0,1
A20,0,0,1,0,0,1,2
A2,1,1,0,0,0,0,0
A3,0,1,0,0,0,0,1
A10,1,0,0,1,0,0,3
A2,0,1,0,1,1,1,0
A3,1,1,0,1,0,0,1
A10,1,0,0,1,0,0,3
A3,0,1,0,1,0,0,1
A10,0,1,0,0,0,1,3
A20,0,1,0,1,0,0,2
A20,0,0,0,1,1,0,2
A20,1,0,0,1,1,0,2
A3,1,1,1,1,0,0,1
A2,1,1,1,1,1,0,0
A2,0,1,0,1,0,0,0
A20,1,1,1,0,0,0,2
A20,0,0,1,0,0,0,2
A10,1,1,1,1,0,1,3
A3,0,1,1,0,0,0,1
A20,0,1,0,1,0,0,2
A2,1,1,0,1,0,0,0
A20,0,1,0,1,1,1,2
A3,0,1,1,0,0,1,1
A20,1,1,0,1,0,1,2
A20,0,1,0,1,0,0,2
A10,1,1,0,0,0,1,3
A20,1,1,1,1,0,0,2
A3,1,1,1,1,0,1,1
A2,0,1,0,0,0,1,0
A2,1,0,0,0,0,0,0
A20,1,1,0,1,0,0,2
A3,1,0,1,0,0,1,1
A20,1,1,1,1,0,1,2
A3,1,0,1,0,0,0,1
A2,1,1,0,1,0,0,0
A10,0,1,0,1,0,0,3
A3,0,1,0,1,1,0,1
A2,1,1,0,1,0,1,0
A3,1,1,1,1,0,1,1
A2,1,1,0,0,0,1,0
A3,0,0,0,0,0,1,1
A20,0,0,0,0,0,0,2
A2,1,1,1,1,0,0,0
A20,0,1,1,1,0,0,2
A10,1,1,0,1,0,1,3
A3,1,1,1,1,0,1,1
A10,1,1,0,1,0,0,3
A2,1,1,0,1,0,0,0
A52,0,1,0,1,0,0,0
A20,0,1,0,0,0,0,2
A3,0,1,0,1,1,0,1
A52,0,1,0,0,0,0,0
A3,1,1,1,1,1,0,1
A10,0,1,0,1,0,1,3
A3,1,1,0,1,0,0,1
A52,1,1,1,1,0,0,0
A3,1,1,1,1,0,1,1
A20,1,1,1,1,0,1,2
A3,0,0,0,0,0,0,1
A20,1,1,0,1,0,0,2
A10,1,1,0,1,1,0,3
A10,1,1,0,1,0,0,3
A20,1,1,0,0,0,1,2
A52,1,1,1,1,0,1,0
A20,1,0,1,1,0,0,2
A3,0,1,1,0,1,0,1
A3,0,0,0,1,0,0,1
A3,1,1,0,0,0,0,1
A20,1,1,1,1,0,0,2
A52,1,1,1,1,0,1,0
A52,1,1,1,1,1,0,0
A3,1,1,0,0,0,1,1
A3,1,1,0,1,0,1,1
A3,1,1,1,1,0,1,1
A3,1,0,0,1,0,1,1
A10,0,1,0,1,0,0,3
A20,1,1,0,1,0,0,2
A3,1,1,0,1,0,0,1
A20,1,1,1,1,0,0,2
A10,1,1,1,1,1,1,3
A3,1,1,1,1,0,0,1
A3,0,1,1,1,0,0,1
A10,1,1,1,1,1,1,3
A20,1,0,0,1,0,0,2
A3,0,1,0,1,0,1,1
A89,1,1,0,1,0,1,1
A20,0,0,0,0,0,0,2
A52,1,1,0,1,1,1,0
A52,1,1,0,1,0,0,0
A89,1,1,1,0,0,0,1
A20,0,1,0,0,0,0,2
A89,1,1,1,0,0,0,1
A89,0,0,1,0,0,0,1
A10,1,1,1,1,0,1,3
A89,0,0,0,1,0,0,1
A20,1,1,0,0,0,1,2
A20,0,0,0,0,0,0,2
A10,1,1,1,1,0,0,3
A52,1,1,0,1,1,0,0
A10,1,0,0,1,1,1,3
A89,1,1,0,1,0,0,1
A52,1,1,1,1,0,0,0
A89,0,1,0,0,0,1,1
A89,0,0,0,1,0,0,1
A52,1,1,1,1,0,1,0
A89,1,0,1,1,0,1,1
A139,0,0,0,0,0,0,2
A139,1,1,0,0,0,0,2
A10,1,1,0,1,0,1,3
A89,0,0,0,0,0,0,1
A52,1,1,1,1,0,1,0
A89,1,1,0,1,0,0,1
A139,0,0,0,1,0,1,2
A139,1,1,1,1,0,0,2
A89,1,1,1,1,0,0,1
A89,1,1,1,1,0,0,1
A89,0,0,0,0,0,0,1
A139,1,1,0,0,0,1,2
A89,0,1,1,1,0,0,1
A89,1,1,0,1,0,0,1
A89,1,0,0,1,1,0,1
A10,1,1,1,1,0,0,3
A89,1,1,0,1,0,0,1
A89,1,1,1,1,0,0,1
A10,0,1,0,0,0,0,3
A89,1,1,0,1,0,0,1
A139,1,1,0,1,0,1,2
A89,1,0,0,0,0,0,1
A89,0,0,0,0,0,0,1
A139,0,1,0,1,0,0,2
A139,0,0,1,1,0,0,2
A139,1,0,0,0,0,0,2
A52,0,1,0,0,1,0,0
A139,0,1,0,1,0,0,2
A139,1,1,1,1,1,1,2
A139,0,1,0,0,0,0,2
A89,1,1,1,1,0,0,1
A52,1,0,0,1,1,0,0
A89,1,1,0,1,0,0,1
A89,1,1,1,1,0,0,1
A10,1,1,1,1,0,1,3
A89,0,0,0,0,0,0,1
A89,1,1,0,1,0,0,1
A89,0,1,0,1,0,1,1
A89,1,1,0,0,0,0,1
A10,1,1,0,1,0,1,3
A10,1,1,1,1,0,0,3
A52,0,1,1,1,0,1,0
A89,0,1,0,0,0,0,1
A89,1,1,0,0,0,0,1
A89,1,1,1,1,0,0,1
A89,1,1,0,0,0,0,1
A10,1,1,0,1,0,0,3
A52,1,1,1,1,0,1,0
A52,1,1,0,0,0,0,0
A139,0,0,0,0,0,1,2
A52,1,1,0,1,0,0,0
A89,0,1,0,0,0,0,1
A139,1,0,0,0,0,1,2
A89,0,1,0,1,0,1,1
A52,0,1,1,1,0,1,0
A89,0,1,0,1,0,1,1
A139,0,0,0,0,0,0,2
A139,0,1,0,0,0,1,2
A139,1,1,1,1,0,0,2
A52,1,1,0,0,1,1,0
A139,0,1,0,1,0,1,2
A52,1,1,1,1,1,0,0
A89,1,1,1,1,0,0,1
A89,1,1,1,1,0,0,1
A52,1,1,0,1,0,0,0
A139,1,1,0,1,1,1,2
A139,1,1,0,1,0,0,2
A89,1,1,1,1,0,1,1
A139,1,1,0,1,0,1,2
A10,1,1,0,1,0,0,3
A10,0,1,0,0,0,1,3
A89,1,1,0,1,0,0,1
A10,1,1,0,0,0,0,3
A139,1,1,0,0,0,0,2
A89,0,0,0,1,0,0,1
A10,1,1,0,1,0,0,3
A89,0,1,0,0,0,1,1
A89,0,1,0,1,0,0,1
A52,1,1,1,1,1,1,0
A139,0,1,1,1,0,0,2
A89,1,0,0,0,0,0,1
A139,1,1,0,1,0,1,2
A52,1,1,0,1,0,0,0
A52,0,1,0,1,0,0,0
A139,1,1,0,1,0,0,2
A89,1,1,0,0,0,1,1
A89,0,1,0,0,1,1,1
A89,0,1,0,1,0,0,1
A52,1,1,0,1,0,1,0
A10,1,1,0,1,0,1,3
A89,1,1,0,0,0,0,1
A89,0,0,0,0,1,1,1
A139,0,1,1,0,0,0,2
A139,0,1,1,1,1,0,2
A10,1,1,0,1,1,1,3
A139,0,1,0,0,0,0,2
A89,1,1,0,1,0,0,1
A89,1,1,1,1,1,1,1
A52,1,0,1,1,0,0,0
A89,1,1,1,1,1,1,1
A89,1,1,0,1,0,0,1
A139,1,1,1,1,0,1,2
A52,1,1,1,1,1,1,0
A89,1,1,1,1,0,1,1
A52,0,1,0,0,0,1,0
A89,1,1,1,1,0,0,1
A52,1,0,0,1,0,0,0
A52,0,1,1,0,0,1,0
A89,0,0,0,1,0,0,1
A52,1,1,1,1,0,1,0
A89,1,1,0,1,0,1,1
A89,1,1,1,1,0,0,1
A52,0,0,1,1,0,0,0
A139,1,0,0,1,0,1,2
A89,0,1,0,1,0,1,1
A89,1,0,0,1,0,0,1
A139,0,0,0,1,0,0,2
A52,1,1,1,1,0,1,0
A89,1,0,0,0,0,0,1
A89,1,1,0,1,0,0,1
A89,1,1,1,1,0,0,1
A89,1,1,0,1,1,0,1
A139,1,1,1,1,0,0,2
A139,1,1,0,1,0,1,2
A139,0,1,0,0,0,0,2
A139,0,1,0,0,1,0,2
A139,0,0,0,0,0,0,2
A89,0,0,0,0,0,1,1
A52,0,1,0,1,0,1,0
A10,1,1,1,1,0,1,3
A139,1,1,0,1,0,0,2
A139,0,1,0,1,0,0,2
A89,0,0,0,1,0,0,1
A139,0,1,1,1,0,0,2
A139,1,1,1,0,0,0,2
A139,0,1,0,0,0,1,2
A139,1,1,0,1,1,0,2
A139,0,0,0,1,0,0,2
A89,1,1,0,0,0,0,1
A139,1,0,0,0,0,0,2
A89,1,1,0,0,0,0,1
A139,1,0,1,1,0,0,2
A139,1,0,0,1,0,0,2
A89,1,0,1,1,0,0,1
A89,0,1,0,1,0,0,1
A89,1,0,0,1,0,0,1
A139,0,1,0,0,0,0,2
A89,0,1,0,1,0,0,1
A52,1,1,0,1,0,1,0
A139,1,1,1,1,0,0,2
A52,1,1,1,1,1,1,0
A89,1,1,0,1,1,0,1
A139,0,1,1,1,0,0,2
A10,1,1,0,1,0,0,3
A89,0,1,0,1,0,0,1
A10,1,1,0,1,0,0,3
A89,0,1,1,1,1,1,1
A52,1,1,0,1,1,0,0
A52,1,1,0,1,0,0,0
A89,0,1,0,0,0,0,1
A52,1,1,1,0,0,0,0
A89,0,1,0,0,1,0,1
A52,0,1,1,1,1,1,0
A361,1,1,0,1,1,0,3
A139,1,1,0,0,0,1,2
A361,0,1,0,0,0,0,3
A89,1,0,0,1,0,0,1
A139,0,0,0,0,0,0,2
A89,1,1,0,1,0,0,1
A279,0,1,1,1,0,0,0
A89,1,1,1,1,0,1,1
A139,1,1,0,1,0,0,2
A282,1,1,0,1,0,0,0
A361,0,0,0,0,0,0,3
A361,1,1,0,1,0,0,3
A89,0,0,0,0,0,0,1
A89,0,1,0,1,0,0,1
A89,1,1,1,1,0,0,1
A361,1,1,0,0,0,0,3
A139,1,1,1,1,0,0,2
A89,0,1,0,0,1,1,1
A282,1,1,1,1,0,0,0
A89,1,1,0,1,0,0,1
A139,0,1,1,0,0,0,2
A361,1,1,0,0,0,0,3
A89,1,1,0,1,0,0,1
A89,0,1,0,0,0,0,1
A139,1,1,0,1,1,0,2
A282,1,1,0,1,0,1,0
A89,1,1,0,0,0,1,1
A361,1,1,0,1,0,1,3
A361,1,1,1,1,0,0,3
A361,0,1,1,0,0,1,3
A89,1,1,1,1,0,1,1
A139,1,1,1,1,0,0,2
A89,1,0,1,1,0,0,1
A139,1,1,1,1,0,1,2
A89,1,1,1,1,1,1,1
A89,1,1,1,1,0,0,1
A139,0,1,0,0,0,1,2
A282,0,1,1,1,0,1,0
A139,1,0,1,1,0,0,2
A282,0,1,1,0,1,0,0
A89,1,1,0,1,0,0,1
A282,0,1,1,0,0,0,0
A282,0,1,0,1,1,0,0
A282,1,1,1,1,0,1,0
A89,1,1,0,0,0,1,1
A282,1,1,1,1,1,0,0
A89,1,1,0,1,0,0,1
A139,0,1,0,0,0,0,2
A282,1,1,1,1,0,0,0
A89,1,1,0,1,0,0,1
A89,1,1,0,0,0,0,1
A89,0,1,0,1,0,0,1
A282,1,1,1,1,0,1,0
A139,0,0,1,1,0,0,2
A139,1,1,1,1,0,1,2
A89,0,1,0,1,0,0,1
A89,0,0,0,1,0,1,1
A282,0,1,1,1,0,1,0
A89,1,0,1,1,0,1,1
A89,1,1,0,1,0,0,1
A139,0,0,1,1,0,0,2
A139,0,1,1,1,0,1,2
A139,1,1,1,1,0,0,2
A89,1,1,0,1,1,0,1
A89,1,1,0,1,0,0,1
A361,1,1,0,1,0,1,3
A361,0,1,0,1,0,0,3
A139,1,1,1,0,1,0,2
A139,1,1,1,1,0,0,2
A89,0,0,0,1,1,0,1
A282,1,1,1,1,0,0,0
A139,1,0,0,1,0,0,2
A89,1,1,0,1,0,1,1
A89,1,1,0,1,0,0,1
A89,1,1,0,1,1,1,1
A282,1,1,0,1,0,0,0
A139,1,0,0,1,0,0,2
A282,1,1,1,1,0,0,0
A89,1,1,0,1,0,0,1
A89,0,1,1,1,0,0,1
A139,1,1,0,1,0,0,2
A89,1,1,0,0,0,0,1
A89,1,1,1,1,0,1,1
A89,0,1,0,1,0,0,1
A89,0,1,1,1,0,0,1
A139,0,1,0,0,0,0,2
A139,0,1,1,1,0,1,2
A139,1,1,1,1,0,0,2
A361,0,1,1,1,0,0,3
A282,0,0,0,0,0,0,0
A361,1,1,0,1,0,0,3
A89,1,1,0,1,0,1,1
A361,1,1,0,1,0,0,3
A139,1,1,0,0,0,0,2
A282,1,1,0,1,0,1,0
A361,1,1,0,1,0,1,3
A89,1,0,0,1,0,0,1
A139,1,1,1,1,0,0,2
A89,1,1,0,1,0,0,1
A139,1,1,0,1,0,0,2
A282,1,1,1,1,0,1,0
A89,0,1,0,1,0,0,1
A282,1,1,0,1,0,1,0
A282,1,1,1,1,0,1,0
A361,0,1,0,1,0,0,3
A361,0,1,1,1,1,1,3
A89,0,1,0,1,0,0,1
A139,1,0,0,1,0,0,2
A139,1,1,1,0,0,0,2
A282,1,1,0,1,1,0,0
A89,0,1,0,1,0,1,1
A361,1,1,1,1,0,1,3
A89,0,1,1,1,1,0,1
A282,1,1,0,1,0,1,0
A89,1,1,0,1,0,0,1
A89,0,0,0,0,0,0,1
A139,1,1,0,0,0,0,2
A89,1,1,0,1,0,0,1
A89,0,1,1,1,0,1,1
A89,1,0,1,1,0,0,1
A89,1,1,0,1,0,0,1
A282,0,1,0,1,1,0,0
A89,1,1,1,1,0,0,1
A89,0,1,0,1,0,1,1
A139,1,1,0,1,0,0,2
A89,0,0,0,0,0,1,1
A89,1,1,0,0,0,0,1
A361,1,1,1,1,0,1,3
A139,1,1,0,1,0,1,2
A89,1,1,0,1,1,1,1
A282,1,1,0,1,0,1,0
A282,0,0,0,1,1,0,0
A89,1,1,0,1,0,0,1
A282,1,1,1,1,1,0,0
A89,1,0,0,1,0,1,1
A139,1,1,0,1,0,1,2
A361,1,1,1,1,0,1,3
A89,0,0,0,1,0,1,1
A282,1,1,1,1,0,0,0
A139,1,0,0,1,0,0,2
A282,1,1,0,1,0,1,0
A282,0,0,0,0,0,1,0
A139,1,1,1,1,0,0,2
A282,1,1,1,1,0,1,0
A89,1,1,0,1,1,0,1
A89,0,0,0,0,1,1,1
A89,0,0,0,1,0,0,1
A89,1,1,0,1,0,0,1
A282,1,1,1,1,0,1,0
A89,1,0,0,1,1,0,1
A139,1,1,0,1,0,1,2
A282,1,1,0,1,0,1,0
A139,1,1,0,0,0,0,2
A89,1,1,1,0,0,0,1
A361,1,1,0,0,0,1,3
A282,1,1,1,1,0,1,0
A282,1,1,1,1,0,1,0
A282,0,1,1,1,0,0,0
A361,1,1,1,1,0,1,3
A361,1,1,0,0,0,0,3
A89,1,1,0,0,0,0,1
A89,1,1,1,1,0,0,1
A139,1,1,0,1,0,0,2
A139,1,1,1,1,0,0,2
A89,0,1,0,1,0,1,1
A139,0,1,0,0,0,1,2
A139,1,1,0,1,0,1,2
A139,1,1,0,0,0,0,2
A282,1,1,1,1,0,1,0
A89,0,1,0,0,0,0,1
A139,1,1,1,0,0,1,2
A139,1,1,1,1,1,0,2
A89,0,1,0,1,0,0,1
A89,0,0,0,1,0,0,1
A361,0,1,1,1,0,0,3
A361,0,1,0,1,1,0,3
A89,1,1,1,1,1,0,1
A89,0,0,0,1,0,0,1
A361,0,0,0,1,0,0,3
A139,0,0,0,1,0,0,2
A139,1,1,1,1,0,0,2
A139,1,1,0,1,0,0,2
A139,1,1,0,0,0,0,2
A139,1,1,0,1,0,0,2
A89,1,1,1,1,0,0,1
A89,1,1,0,1,0,0,1
A139,1,1,1,1,0,0,2
A139,1,1,0,0,1,0,2
A139,1,1,0,1,0,0,2
A139,1,1,1,1,1,0,2
A139,0,1,1,1,0,0,2
A89,0,1,0,1,1,1,1
A89,1,1,0,1,0,1,1
A89,1,1,0,0,0,1,1
A89,0,1,0,0,0,0,1
A89,1,1,0,1,1,0,1
A89,1,1,1,1,0,0,1
A89,0,0,1,1,1,0,1
A89,0,0,0,0,0,0,1
A89,1,1,0,1,0,0,1
A89,1,1,0,1,0,0,1
A139,1,1,0,0,0,0,2
A487,0,1,0,1,0,1,1
A139,1,0,0,1,0,0,2
A139,1,0,1,1,1,0,2
A487,0,1,0,0,0,1,1
A487,0,0,0,0,0,0,1
A139,1,1,0,0,0,0,2
A139,1,1,1,1,1,0,2
A487,1,1,1,1,0,0,1
A139,0,1,0,1,0,1,2
A487,0,1,0,0,0,1,1
A487,0,1,0,0,0,0,1
A487,0,1,0,1,1,0,1
A487,0,0,0,0,0,0,1
A282,0,1,0,1,0,0,0
A361,0,1,0,1,0,1,3
A487,1,1,0,1,0,0,1
A487,1,1,0,1,0,0,1
A139,0,0,0,1,0,0,2
A487,0,1,0,0,0,0,1
A487,1,1,0,0,1,0,1
A487,1,0,0,1,0,0,1
A282,1,1,1,1,0,1,0
A361,1,1,0,0,0,0,3
A282,1,1,0,1,0,0,0
A361,1,1,1,1,0,0,3
A139,1,1,0,1,0,0,2
A139,1,1,1,1,0,0,2
A487,0,1,0,1,0,0,1
A361,0,1,0,1,0,1,3
A282,1,1,0,1,1,1,0
A282,0,1,0,1,1,0,0
A139,1,1,1,1,0,1,2
A282,0,1,1,1,0,1,0
A487,1,0,0,1,0,1,1
A282,1,1,1,1,1,1,0
A139,1,1,0,0,0,1,2
A282,1,1,1,1,0,0,0
A487,0,1,1,1,0,0,1
A487,1,1,0,1,0,0,1
A361,1,1,1,1,0,1,3
A487,1,0,1,1,1,0,1
A361,1,1,1,1,1,0,3
A282,1,1,0,1,1,1,0
A282,1,1,0,1,0,1,0
A139,1,1,0,0,0,0,2
A282,1,1,1,1,0,0,0
A361,1,0,1,1,0,1,3
A487,1,1,0,1,0,1,1
A139,1,1,0,1,0,1,2
A139,1,1,1,1,0,1,2
A139,1,1,0,0,0,0,2
A139,1,1,0,1,0,0,2
A487,1,1,0,1,0,0,1
A282,0,1,0,1,0,0,0
A282,1,1,1,1,0,0,0
A487,1,1,0,1,0,1,1
A282,1,1,0,1,0,0,0
A487,1,1,0,1,0,0,1
A487,1,1,1,1,0,1,1
A282,0,1,1,0,0,0,0
A139,1,1,1,1,0,1,2
A487,1,0,0,0,0,0,1
A139,1,1,0,1,0,0,2
A487,0,1,0,0,0,1,1
A361,1,1,0,1,0,0,3
A282,0,1,0,0,1,0,0
A361,1,0,1,1,0,0,3
A487,0,1,1,1,1,0,1
A487,1,0,0,0,0,1,1
A487,1,1,1,1,0,0,1
A139,0,0,0,0,0,0,2
A139,1,1,0,0,0,1,2
A139,1,1,1,1,0,0,2
A139,0,1,0,0,0,1,2
A487,1,0,0,0,0,0,1
A139,0,1,0,1,0,1,2
A487,0,1,1,1,0,0,1
A487,1,1,1,1,0,0,1
A487,1,0,0,0,0,0,1
A139,1,0,0,1,0,0,2
A487,1,1,0,1,1,1,1
A487,1,1,1,1,0,0,1
A487,1,1,0,0,0,0,1
A487,0,1,0,1,0,1,1
A487,0,1,1,1,0,0,1
A487,1,0,1,1,0,0,1
A487,0,0,0,1,0,0,1
A139,1,1,0,0,0,0,2
A487,1,1,0,0,0,1,1
A139,1,1,0,0,0,1,2
A282,0,1,0,1,0,0,0
A361,1,1,1,1,1,1,3
A139,1,1,1,1,0,0,2
A282,1,1,1,1,0,0,0
A282,0,1,0,1,0,1,0
A487,1,1,1,1,0,0,1
A282,1,1,0,1,0,0,0
A282,1,1,0,1,0,1,0
A361,1,1,0,1,1,1,3
A282,1,1,0,1,1,0,0
A282,1,1,1,0,0,0,0
A487,1,0,0,1,0,0,1
A487,1,1,1,1,0,1,1
A487,1,0,0,0,0,0,1
A139,0,0,0,1,0,0,2
A139,0,1,0,0,0,0,2
A139,1,1,1,1,0,1,2
A487,1,1,0,1,0,0,1
A139,0,1,1,1,0,1,2
A487,0,1,0,1,0,0,1
A487,1,1,1,1,0,0,1
A139,0,1,0,1,0,0,2
A139,1,1,0,1,0,1,2
A139,1,1,1,1,0,0,2
A487,1,1,0,1,0,0,1
A487,1,1,0,0,0,0,1
A139,1,1,0,0,0,1,2
A139,1,0,0,1,0,0,2
A487,1,1,0,1,0,0,1
